Title,MLM_Sentence
Chief Executives,[MASK] determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body.
Chief Sustainability Officers,"[MASK] communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues."
General and Operations Managers,"[MASK] plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations."
Legislators,"[MASK] develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level."
Advertising and Promotions Managers,"[MASK] plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
Marketing Managers,"[MASK] plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers."
Sales Managers,"[MASK] plan, direct, or coordinate the actual distribution or movement of a product or service to the customer."
Public Relations Managers,"[MASK] plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client."
Fundraising Managers,"[MASK] plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
Administrative Services Managers,"[MASK] plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."
Facilities Managers,"[MASK] plan, direct, or coordinate operations and functionalities of facilities and buildings."
Security Managers,"[MASK] direct an organization's security functions, including physical security and safety of employees and facilities."
Computer and Information Systems Managers,"[MASK] plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
Financial Managers,"[MASK] plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
Treasurers and Controllers,"[MASK] direct financial activities, such as planning, procurement, and investments for all or part of an organization."
Investment Fund Managers,"[MASK] plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
Industrial Production Managers,"[MASK] plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
Quality Control Systems Managers,"[MASK] plan, direct, or coordinate quality assurance programs."
Geothermal Production Managers,[MASK] manage operations at geothermal power generation facilities.
Biofuels Production Managers,[MASK] manage biofuels production and plant operations.
Biomass Power Plant Managers,[MASK] manage operations at biomass power generation facilities.
Hydroelectric Production Managers,[MASK] manage operations at hydroelectric power generation facilities.
Purchasing Managers,"[MASK] plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services."
"Transportation, Storage, and Distribution Managers","[MASK] plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations."
